Date,Open,High,Low,Close,Adj Close,Volume
2021-02-26,5.850000,5.860000,5.760000,5.760000,5.505539,2668800
2021-03-01,5.910000,5.980000,5.910000,5.930000,5.668029,347700
2021-03-02,6.020000,6.040000,5.980000,6.000000,5.734937,206000
2021-03-03,6.000000,6.030000,5.960000,5.970000,5.706262,263400
2021-03-04,6.040000,6.170000,5.890000,5.920000,5.658471,479900
2021-03-05,6.090000,6.100000,6.010000,6.100000,5.830519,291500
2021-03-08,6.120000,6.140000,6.010000,6.050000,5.782728,477000
2021-03-09,6.270000,6.300000,6.250000,6.270000,5.993009,2502700
2021-03-10,6.290000,6.290000,6.250000,6.250000,5.973892,474400
2021-03-11,6.240000,6.310000,6.230000,6.310000,6.031241,318700
2021-03-12,6.300000,6.400000,6.290000,6.350000,6.069475,470300
2021-03-15,6.470000,6.500000,6.420000,6.490000,6.203290,281200
2021-03-16,6.440000,6.460000,6.360000,6.400000,6.117266,831600
2021-03-17,6.220000,6.230000,6.090000,6.230000,5.954776,340100
2021-03-18,6.120000,6.150000,5.960000,5.990000,5.725378,553200
2021-03-19,6.000000,6.060000,5.970000,6.010000,5.744495,5563500
2021-03-22,5.930000,5.930000,5.870000,5.900000,5.639354,796200
2021-03-23,5.830000,5.860000,5.760000,5.800000,5.543772,511500
2021-03-24,5.810000,5.870000,5.800000,5.800000,5.543772,491900
2021-03-25,5.820000,5.890000,5.800000,5.890000,5.629796,219000
2021-03-26,5.900000,5.990000,5.900000,5.990000,5.725378,162400
2021-03-29,5.980000,6.040000,5.950000,6.010000,5.744495,272400
2021-03-30,5.950000,5.950000,5.900000,5.930000,5.668029,235500
2021-03-31,5.940000,6.020000,5.940000,6.000000,5.734937,116400
2021-04-01,6.000000,6.010000,5.860000,5.910000,5.648912,647000
2021-04-05,6.000000,6.000000,5.850000,5.890000,5.629796,221600
2021-04-06,5.780000,5.800000,5.730000,5.780000,5.524656,771600
2021-04-07,5.750000,5.820000,5.730000,5.790000,5.534214,399400
2021-04-08,5.810000,5.810000,5.780000,5.800000,5.543772,216800
2021-04-09,5.730000,5.730000,5.700000,5.720000,5.467306,269600
2021-04-12,5.720000,5.730000,5.680000,5.720000,5.467306,273800
2021-04-13,5.730000,6.010000,5.730000,5.970000,5.706262,1303900
2021-04-14,6.130000,6.230000,6.130000,6.140000,5.868752,791000
2021-04-15,6.070000,6.170000,6.060000,6.140000,5.868752,1786200
2021-04-16,6.130000,6.190000,6.100000,6.180000,5.906984,228900
2021-04-19,6.040000,6.050000,5.980000,6.000000,5.734937,203200
2021-04-20,5.980000,5.980000,5.920000,5.950000,5.687145,242500
2021-04-21,5.920000,5.990000,5.900000,5.990000,5.725378,86200
2021-04-22,6.050000,6.110000,6.010000,6.070000,5.801844,312100
2021-04-23,6.150000,6.160000,6.110000,6.160000,5.887868,100300
2021-04-26,6.200000,6.200000,6.170000,6.170000,5.897427,126400
2021-04-27,6.180000,6.190000,6.120000,6.170000,5.897427,158900
2021-04-28,6.170000,6.230000,6.160000,6.220000,5.945218,200100
2021-04-29,6.230000,6.230000,6.100000,6.140000,5.868752,214100
2021-04-30,6.070000,6.100000,6.060000,6.090000,5.820961,157500
2021-05-03,6.080000,6.170000,6.060000,6.160000,5.887868,276200
2021-05-04,6.170000,6.220000,6.160000,6.190000,5.916543,262800
2021-05-05,6.280000,6.330000,6.280000,6.310000,6.031241,143500
2021-05-06,6.400000,6.480000,6.390000,6.480000,6.193731,350100
2021-05-07,6.480000,6.530000,6.460000,6.530000,6.241523,196600
2021-05-10,6.530000,6.550000,6.460000,6.470000,6.184173,246100
2021-05-11,6.480000,6.530000,6.430000,6.520000,6.231965,222200
2021-05-12,6.500000,6.530000,6.450000,6.470000,6.184173,207900
2021-05-13,6.560000,6.650000,6.560000,6.630000,6.337105,188400
2021-05-14,6.720000,6.740000,6.670000,6.700000,6.404012,169000
2021-05-17,6.760000,6.870000,6.750000,6.860000,6.556944,489700
2021-05-18,6.950000,7.230000,6.900000,7.190000,6.872366,1289200
2021-05-19,6.960000,7.120000,6.910000,7.060000,6.748109,636200
2021-05-20,7.000000,7.020000,6.970000,7.010000,6.700318,227800
2021-05-21,7.010000,7.030000,6.970000,6.980000,6.671643,238600
2021-05-24,6.990000,7.050000,6.980000,7.030000,6.719434,217800
2021-05-25,7.050000,7.060000,7.010000,7.010000,6.700318,320800
2021-05-26,7.060000,7.110000,7.050000,7.110000,6.795900,261300
2021-05-27,7.110000,7.140000,7.090000,7.100000,6.786342,368000
2021-05-28,7.110000,7.150000,7.080000,7.140000,6.824574,189500
2021-06-01,7.140000,7.190000,7.140000,7.170000,6.853249,242000
2021-06-02,7.270000,7.380000,7.260000,7.380000,7.053972,420800
2021-06-03,7.330000,7.410000,7.310000,7.380000,7.053972,554800
2021-06-04,7.500000,7.510000,7.450000,7.480000,7.149554,1045100
2021-06-07,7.500000,7.540000,7.480000,7.530000,7.197346,370500
2021-06-08,7.540000,7.590000,7.520000,7.590000,7.254695,209300
2021-06-09,7.620000,7.630000,7.590000,7.610000,7.273811,282500
2021-06-10,7.670000,7.720000,7.620000,7.690000,7.350277,532800
2021-06-11,7.710000,7.720000,7.650000,7.670000,7.331161,321000
2021-06-14,7.690000,7.730000,7.680000,7.710000,7.369393,164000
2021-06-15,7.570000,7.610000,7.500000,7.540000,7.206903,398700
2021-06-16,7.550000,7.580000,7.410000,7.460000,7.130438,763300
2021-06-17,7.530000,7.540000,7.440000,7.470000,7.139996,497400
2021-06-18,7.410000,7.450000,7.400000,7.410000,7.082646,173000
2021-06-21,7.360000,7.410000,7.330000,7.410000,7.082646,237200
2021-06-22,7.460000,7.570000,7.460000,7.540000,7.206903,455200
2021-06-23,7.670000,7.680000,7.580000,7.580000,7.245136,121000
2021-06-24,7.630000,7.660000,7.610000,7.620000,7.283370,170000
2021-06-25,7.650000,7.650000,7.610000,7.640000,7.302486,197900
2021-06-28,7.640000,7.670000,7.600000,7.620000,7.283370,919000
2021-06-29,7.570000,7.580000,7.530000,7.570000,7.235579,155300
2021-06-30,7.630000,7.660000,7.610000,7.640000,7.302486,165300
2021-07-01,7.770000,7.800000,7.680000,7.720000,7.378952,168600
2021-07-02,7.730000,7.780000,7.720000,7.780000,7.436301,140800
2021-07-06,7.980000,7.980000,7.840000,7.890000,7.541441,392900
2021-07-07,7.900000,7.910000,7.820000,7.900000,7.551000,345500
2021-07-08,7.720000,7.760000,7.690000,7.750000,7.407627,125800
2021-07-09,7.900000,7.900000,7.860000,7.880000,7.531884,164700
2021-07-12,7.940000,7.970000,7.930000,7.940000,7.589233,223400
2021-07-13,7.870000,7.920000,7.840000,7.900000,7.551000,183900
2021-07-14,7.710000,7.710000,7.630000,7.640000,7.640000,147300
2021-07-15,7.500000,7.520000,7.480000,7.490000,7.490000,261400
2021-07-16,7.530000,7.540000,7.460000,7.470000,7.470000,211300
2021-07-19,7.370000,7.370000,7.280000,7.310000,7.310000,452000
2021-07-20,7.310000,7.420000,7.280000,7.410000,7.410000,194900
2021-07-21,7.450000,7.660000,7.450000,7.660000,7.660000,482200
2021-07-22,7.640000,7.670000,7.600000,7.650000,7.650000,329100
2021-07-23,7.620000,7.620000,7.530000,7.540000,7.540000,147800
2021-07-26,7.540000,7.600000,7.530000,7.590000,7.590000,130600
2021-07-27,7.520000,7.540000,7.480000,7.520000,7.520000,66000
2021-07-28,7.600000,7.660000,7.560000,7.660000,7.660000,160400
2021-07-29,7.770000,7.850000,7.760000,7.840000,7.840000,227900
2021-07-30,7.780000,7.820000,7.760000,7.800000,7.800000,167700
2021-08-02,7.890000,7.910000,7.800000,7.800000,7.800000,140600
2021-08-03,7.800000,7.850000,7.760000,7.840000,7.840000,110100
2021-08-04,7.850000,7.880000,7.820000,7.830000,7.830000,105600
2021-08-05,7.850000,7.870000,7.830000,7.830000,7.830000,130200
2021-08-06,7.690000,7.690000,7.650000,7.670000,7.670000,95000
2021-08-09,7.710000,7.810000,7.710000,7.770000,7.770000,355800
2021-08-10,7.770000,7.780000,7.750000,7.760000,7.760000,232500
2021-08-11,7.840000,7.890000,7.810000,7.880000,7.880000,127400
2021-08-12,7.930000,7.940000,7.900000,7.930000,7.930000,59400
2021-08-13,7.950000,7.980000,7.940000,7.980000,7.980000,266700
2021-08-16,8.000000,8.030000,7.990000,8.010000,8.010000,327400
2021-08-17,8.110000,8.140000,8.010000,8.050000,8.050000,330200
2021-08-18,8.080000,8.100000,8.030000,8.050000,8.050000,203000
2021-08-19,7.810000,7.900000,7.780000,7.880000,7.880000,402400
2021-08-20,7.760000,7.860000,7.730000,7.840000,7.840000,179500
2021-08-23,7.970000,8.020000,7.970000,8.000000,8.000000,300700
2021-08-24,8.040000,8.080000,8.020000,8.070000,8.070000,94500
2021-08-25,7.980000,8.020000,7.950000,7.980000,7.980000,112100
2021-08-26,7.900000,7.930000,7.870000,7.890000,7.890000,162800
2021-08-27,7.960000,8.100000,7.940000,8.100000,8.100000,269400
2021-08-30,8.210000,8.250000,8.160000,8.240000,8.240000,709700
2021-08-31,8.290000,8.320000,8.250000,8.300000,8.300000,247500
2021-09-01,8.470000,8.570000,8.470000,8.540000,8.540000,560100
2021-09-02,8.600000,8.630000,8.540000,8.550000,8.550000,280000
2021-09-03,8.660000,8.740000,8.640000,8.730000,8.730000,518600
2021-09-07,8.960000,8.980000,8.910000,8.940000,8.940000,622100
2021-09-08,8.900000,8.920000,8.830000,8.900000,8.900000,1603100
2021-09-09,8.910000,8.950000,8.870000,8.900000,8.900000,869300
2021-09-10,9.000000,9.000000,8.880000,8.880000,8.880000,277900
